sRNA,Target,Name
ArcZ,b2741,rpoS
ChiX,b1737,chbC
ChiX,b0619,dpiB
ChiX,b0681,chiP
CyaR,b2687,luxS
CyaR,b1740,nadE
CyaR,b0814,ompX
CyaR,b2666,yqaE
DsrA,b1237,hns
DsrA,b2741,rpoS
FnrS,b3908,sodA
FnrS,b1656,sodB
FnrS,b3829,metE
FnrS,b0887,cydD
FnrS,b2153,folE
FnrS,b2303,folX
FnrS,b0755,gpmA
FnrS,b1479,maeA
FnrS,b1841,yobA
GcvB,b3089,sstT
GcvB,b4208,cycA
GcvB,b1040,csgD
GcvB,b3729,glmS
MicA,b1130,phoP
MicA,b0814,ompX
MicA,b0411,tsx
MicA,b0957,ompA
MicC,b2215,ompC
MicF,b0889,lrp
MicF,b3912,cpxR
MicF,b0241,phoE
MicF,b0929,ompF
OmrA,b1040,csgD
OmrA,b2155,cirA
OmrA,b0565,ompT
OmrA,b3405,ompR
OmrB,b1040,csgD
OmrB,b2155,cirA
OmrB,b0565,ompT
OmrB,b3405,ompR
OxyS,b2731,fhlA
RprA,b2741,rpoS
RprA,b1341,ydaM
RprA,b1040,csgD
RybB,b0805,fiu
RybB,b0721,sdhC
RybB,b2215,ompC
RybB,b1256,ompW
RybB,b2594,rluD
RyhB,b3607,cysE
RyhB,b2530,iscS
RyhB,b0683,fur
RyhB,b1981,shiA
RyhB,b1656,sodB
RyhB,b0721,sdhC
RyhB,b1612,fumA
SgrS,b1101,ptsG
SgrS,b1817,sopD
spf,b0757,galK
spf,b0720,gltA
spf,b4311,nanC
spf,b2702,srlA
spf,b3962,sthA
spf,b3566,xylF
spf,b2802,fucI
spf,b0721,sdhC
CyaR,b2416,ptsI
CyaR,b1824,yobF
CyaR,b0723,sdhA
FnrS,b1531,marA
FnrS,b2531,iscR
FnrS,b1107,nagZ
FnrS,b0723,sdhA
RybB,b0081,mraZ
RyhB,b3365,nirB
RyhB,b0156,erpA
RyhB,b1531,marA
RyhB,b1107,nagZ
RyhB,b0723,sdhA
SgrS,b2416,ptsI
spf,b1761,gdhA
spf,b0728,sucC
spf,b1136,icd
ArcZ,b3210,arcB
ArcZ,b1892,flhD
ArrS,b3512,gadE
CpxQ,b4484,cpxP
CpxQ,b0178,skp
DicF,b0095,ftsZ
GadY,b3516,gadX
GadY,b3515,gadW
GcvB,b2310,argT
GcvB,b3544,dppA
GcvB,b0655,gltI
GcvB,b3458,livK
GcvB,b3460,livJ
GcvB,b0889,lrp
GcvB,b1130,phoP
GcvB,b1243,oppA
GlmZ,b3729,glmS
McaS,b1040,csgD
McaS,b1892,flhD
McaS,b1024,pgaA
MgrR,b3493,pitA
MgrR,b4062,soxS
MicL,b1677,lpp
OmrA,b4291,fecA
OmrA,b0584,fepA
OmrA,b1892,flhD
OmrA,b4321,gntP
OmrB,b4291,fecA
OmrB,b0584,fepA
OmrB,b1892,flhD
OmrB,b4321,gntP
OxyS,b1892,flhD
OxyS,b2741,rpoS
RaiZ,b4000,hupA
RseX,b0957,ompA
RseX,b2215,ompC
RydC,b1040,csgD
RydC,b2177,yejA
RyhB,b1276,acnA
RyhB,b0118,acnB
RyhB,b3336,bfr
RyhB,b2531,iscR
SdhX,b2296,ackA
SdsN,b0851,nfsA
SdsR,b2733,mutS
SdsR,b3035,tolC
SdsR,b3233,yhcB
SgrS,b1817,manX
spf,b1901,araF
spf,b2221,atoD
spf,b0039,caiA
spf,b1479,maeA
spf,b3224,nanT
spf,b1398,paaK
spf,b1302,puuE
spf,b2801,fucP
SraG,b3164,pnp
